customUser:user_Id,date,cancel_order_clicked(eventcount),cancel_order_clicked(Duration),confirm_order_button(eventcount),confirm_order_button(Duration),coupon_applied_clicked(eventcount),coupon_applied_clicked(Duration),customer_carecall_clicked(eventcount),customer_carecall_clicked(Duration),home_page(eventcount),home_page(Duration),login(eventcount),login(Duration),login_screen_reached(eventcount),login_screen_reached(Duration),notification_dismiss(eventcount),notification_dismiss(Duration),notification_foreground(eventcount),notification_foreground(Duration),notification_open(eventcount),notification_open(Duration),notification_receive(eventcount),notification_receive(Duration),order_page(eventcount),order_page(Duration),order_search_clicked(eventcount),order_search_clicked(Duration),otp_screen_reached(eventcount),otp_screen_reached(Duration),product_category_clicked(eventcount),product_category_clicked(Duration),repeatorder_clicked(eventcount),repeatorder_clicked(Duration),reward_page(eventcount),reward_page(Duration),session_start(eventcount),session_start(Duration),track_page(eventcount),track_page(Duration),user_engagement(eventcount),user_engagement(Duration),Grand Total(eventcount),Grand Total(Duration)
101282182,2024-03-21,,,1,1.00E-06,,,,,1,0.001001,1,2.004985,,,,,1,0.003001,,,1,0.443001,,,,,,,,,,,,,,,1,71.614003,1,96.776005,7,1.71E+02
,2024-03-22,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,1,0
,2024-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,1,7.886001,2,7.886001
,2024-05-13,,,1,0.001001,,,,,1,1.00E-06,1,2.004999,1,0.026001,,,1,0.008002,,,1,611.726002,,,,,1,0.001001,,,,,,,1,0,1,1073.508995,1,454.124985,10,2141.400987
101337531,2024-04-12,,,1,0.001001,,,,,1,0.006002,1,0.333989,1,0.104005,1,4.635001,1,0.012002,,,1,62.445003,,,,,1,0.001001,,,,,,,,,1,268.269092,1,306.809013,10,642.616109
101359027,2024-03-14,,,,,,,,,,,1,2.012989,,,,,,,,,,,,,,,,,,,,,,,,,,,1,46.199002,2,48.211991
,2024-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,1,14.768001,2,14.768001
,2024-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,1,12.651001,2,12.651001
101520125,2024-03-22,,,1,0.002001,,,,,1,1.00E-06,1,0.40395,1,0.011001,,,1,0.002001,,,1,289.286994,,,,,1,0.001001,,,,,,,1,0,1,32.4725015,1,63.7395025,10,385.918953
101562001,2024-03-27,,,1,0.001001,,,,,1,0.001002,1,2.003986,1,0.026002,,,1,0.003001,,,1,91.013002,,,,,1,0.002002,,,,,,,,,1,10.295004,1,179.741984,9,283.086984
101582439,2024-05-12,,,,,,,,,1,0.001002,1,0.107984,1,0.023002,1,9.186002,,,,,1,1272.647002,,,,,1,7.985002,,,,,,,1,0,1,13.487003,1,48.444003,9,1351.881
101770120,2024-04-28,,,1,1.00E-06,,,,,1,0.004001,1,0.692984,1,0.013001,,,1,0.002001,,,1,294.602494,,,,,1,1.00E-06,,,,,,,1,0,1,1.865001,1,9.2735015,10,3.06E+02
101806198,2024-03-04,,,1,0.001001,,,,,1,0.001001,1,2.003985,1,0.143007,1,33.752002,1,0.023002,,,1,33.760002,,,,,1,1.00E-06,,,,,,,1,0,1,151.858005,1,4.511002,11,226.053008
101873963,2024-05-07,,,1,0.001001,1,6.086001,,,1,0.001001,1,0.614988,1,0.006001,1,6.726502,1,0.004001,,,1,415.6914825,,,,,1,1.00E-06,,,,,,,1,0,1,9.702001667,1,31.061002,12,469.8939822
102075182,2024-03-08,,,,,,,,,1,0.007001,1,2.008991,1,0.007001,,,,,,,1,18.192001,,,,,1,0.001001,,,,,,,,,1,52.283003,1,141.879003,7,214.378001
102284727,2024-02-15,,,,,,,,,,,,,1,0.008001,,,,,,,,,,,,,1,1.00E-06,,,,,,,1,0,,,1,2.101001,4,2.109003
,2024-02-28,,,,,,,,,,,1,2.030989,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26.615003,2,28.645992
,2024-02-29,,,,,,,,,,,,,1,0.010001,,,,,,,,,,,,,1,0.001001,,,,,,,1,0,,,1,10.692001,4,10.703003
,2024-03-03,,,1,0.002001,,,,,,,1,0.515986,1,0.018001,,,1,0.002001,,,1,162.046985,,,,,1,0.001001,,,,,,,1,0,1,1.371002,1,11.1730015,9,175.1299785
,2024-03-15,,,1,1.00E-06,,,,,1,1.00E-06,1,0.702985,1,0.008001,,,1,0.004001,,,1,101.720003,,,,,1,1.00E-06,,,,,,,,,1,17.673003,1,38.694002,9,1.59E+02
,2024-03-21,,,1,0.001001,,,,,1,0.004003,1,2.025987,1,0.094006,,,1,0.005001,,,1,13.272003,,,,,1,0.001001,,,,,,,,,1,1002.541008,1,134.890007,9,1152.834017
,2024-04-02,,,1,1.00E-06,,,,,,,1,2.004991,1,0.020001,,,1,0.004001,,,1,98.041003,,,,,1,1.00E-06,,,,,,,1,0,1,73.825019,1,6.187002,9,1.80E+02
,2024-04-08,,,1,1.00E-06,,,,,,,1,0.919989,,,,,1,0.005001,,,1,296.3165005,,,,,,,,,,,,,1,0,1,60.3729935,1,4.083001333,7,3.62E+02
,2024-04-09,,,,,,,,,,,,,1,0.008001,,,,,,,,,,,,,1,0.002001,,,,,,,1,0,,,1,2.335001,4,2.345003
,2024-04-15,,,1,0.002001,,,,,1,1.00E-06,1,2.033991,,,,,1,0.004001,,,1,14.1000015,,,,,,,,,,,,,1,0,1,100.8875035,1,22.9470015,8,139.9745005
,2024-04-16,,,,,,,,,,,,,1,0.010001,,,,,,,,,,,,,1,0.001001,,,,,,,1,0,,,1,6.450001,4,6.461003
,2024-04-23,,,1,0.002001,,,,,,,1,2.01699,,,,,1,0.003001,,,1,31.349003,,,,,,,,,,,,,1,0,1,3.326002,1,70.481002,7,107.177999
,2024-04-24,,,,,,,,,,,,,1,0.007001,,,,,,,,,,,,,1,0.001001,,,,,,,1,0,,,,,3,0.008002
,2024-05-07,,,1,1.00E-06,,,,,,,1,2.026974,,,,,1,0.003001,,,1,586.1799905,,,,,,,,,,,,,1,0,1,9.754002,1,5.0590015,7,6.03E+02
,2024-05-08,,,1,0.019001,,,,,1,1.00E-06,,,1,0.007001,,,1,0.003001,,,1,591.402984,,,,,1,1.00E-06,,,,,,,1,0,1,26.556002,1,14.1915025,9,632.1794935
102456583,2024-04-08,,,,,,,,,1,0.001001,1,2.00999,1,0.014001,,,1,0.002001,,,1,73.388003,,,,,1,1.00E-06,,,,,,,,,1,490.071003,1,30.972003,8,596.458003
102513660,2024-02-21,,,,,,,,,,,,,1,0.027001,,,,,,,,,,,,,1,0.001001,,,,,,,1,0,,,,,3,0.028002
102616711,2024-04-11,,,,,,,,,,,1,0.699983,,,,,,,,,1,5.402001,,,,,,,,,,,,,,,,,1,95.804002,3,101.905986
,2024-04-12,,,,,,,,,,,,,1,0.014001,,,,,,,,,,,,,1,1.00E-06,,,,,,,1,0,,,1,8.656001,4,8.670003
102810665,2024-05-09,1,10.373001,,,,,,,1,0.001001,1,0.819987,1,0.006001,,,1,0.003001,,,1,0.345001,,,,,1,1.00E-06,,,,,,,1,0,1,7.301002,1,31.5850015,10,50.4339965
102966178,2024-03-26,,,,,,,,,,,1,2.007992,,,1,0,,,,,1,154.644003,,,,,,,,,,,,,,,1,0.379001,1,2.664001,5,159.694997
,2024-03-27,,,,,,,,,,,,,1,0.012001,,,,,,,,,,,,,1,0.001001,,,,,,,1,0,,,,,3,0.013002
103091150,2024-02-15,,,,,,,,,,,,,1,0.034001,,,,,,,,,,,,,,,,,,,,,1,0,1,23.954001,1,565.948993,4,589.936995
103195677,2024-04-15,,,,,,,,,,,1,0.656974,1,0.012001,,,,,,,1,1524.799999,,,,,1,1.00E-06,,,,,,,1,0,,,1,59.904001,6,1585.372976
103428020,2024-05-05,,,1,0.002001,,,,,,,1,2.00499,1,0.002001,1,184.632978,1,0.002001,,,1,1611.840005,,,,,1,0.001001,,,,,,,1,0,1,1.00E-06,1,535.373,10,2333.857978
103513027,2024-03-17,,,,,,,,,,,1,2.004983,,,,,,,,,,,,,,,,,,,,,,,1,0,,,1,24.009501,3,26.014484
,2024-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,1,198.166003,2,198.166003
,2024-03-22,,,,,,,,,,,,,,,,,,,,,1,108.126976,,,,,,,1,3.313001,,,,,1,0,,,1,1705.879002,4,1817.318979
,2024-04-25,,,,,,,,,,,,,1,0.012002,,,,,,,1,0,,,,,,,,,,,,,1,0,,,1,49.736002,4,49.748004
103615853,2024-04-19,,,1,0.003001,,,,,,,1,2.00199,,,,,1,0.006001,,,1,36.705003,,,,,,,,,,,,,,,1,11.309003,1,43.385004,6,93.410002
,2024-04-20,,,1,0.001001,,,,,1,0.000668,,,1,0.011001,,,1,0.005001,,,1,16.1030015,1,0.001001,,,1,0.001001,,,,,,,1,0,1,17.28533633,1,24.11400167,10,57.5220125
103680857,2024-03-18,,,,,,,,,,,1,2.004988,,,1,4.573001,,,,,1,18.132001,,,,,,,,,,,,,,,1,0.561001,1,2.946001,5,28.216992
,2024-03-20,,,,,,,,,,,,,1,0.041002,,,,,,,,,,,,,1,0.009002,,,,,,,1,0,,,1,6.171999,4,6.222003
103754377,2024-02-28,,,,,,,,,1,0.001001,1,0.671989,1,0.011001,,,,,,,1,79.603999,,,,,1,0.003001,,,,,,,,,1,60.892001,1,7.138001,7,148.320993
103786472,2024-05-07,,,1,0.003001,,,,,,,1,2.006991,1,0.013001,,,1,0.002001,,,1,12.605489,,,,,1,0.001001,,,,,,,1,0,1,0.822001,1,6.163502,9,21.616987
103881176,2024-04-01,,,1,1.00E-06,,,,,,,1,2.00599,1,0.008001,1,368.921002,1,0.003001,,,1,500.296003,,,,,1,0.001001,,,,,,,1,0,1,1.00E-06,1,363.665002,10,1.23E+03
104219923,2024-04-11,,,,,,,,,,,1,2.002989,1,0.009001,,,,,,,1,17.783001,,,,,1,0.001001,,,,,,,1,0,1,0.717001,1,62.427501,7,82.940494
104250420,2024-04-03,,,1,0.002001,,,,,,,1,0.978978,1,0.034002,,,1,0.002001,,,1,43.738003,,,,,1,1.00E-06,,,,,,,,,1,19.794003,1,44.628005,8,109.176994
104506020,2024-04-19,,,1,1.00E-06,,,,,1,0.0015025,1,2.017988,,,,,1,0.008501,,,1,344.959501,,,,,,,,,,,1,1.00E-06,1,0,1,45.340005,1,737.6493377,9,1.13E+03
,2024-04-28,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0
104528121,2024-02-25,,,1,0.001001,,,,,1,0.002001,1,0.118998,1,0.010001,1,48.039001,1,0.004001,,,1,882.753003,,,,,1,0.001001,,,,,,,,,1,15.168003,1,5.639002,10,951.736012
,2024-03-20,,,,,,,,,1,1.00E-06,1,2.004998,1,0.031002,,,,,,,,,1,1.00E-06,1,4.592001,1,2.00E-06,,,,,,,,,1,31.805002,1,375.287007,8,4.14E+02
,2024-04-01,,,1,1.00E-06,,,,,1,1.00E-06,1,2.010997,1,0.004001,1,193.876995,1,0.002001,,,1,740.8915015,1,0.016001,1,11.589002,1,1.00E-06,,,1,1.00E-06,,,1,0,1,9.255502,1,8.570668333,14,9.66E+02
104892413,2024-02-19,,,,,,,,,,,1,0.791984,,,,,,,,,1,9.477001,,,,,,,,,,,,,,,,,1,3.552001,3,13.820986
,2024-02-20,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,1,7.237001,,,,,1,0,1,9.290001,1,196.776005,5,213.303007
,2024-02-21,,,,,,,,,,,,,1,0.012001,,,,,,,1,257.087001,,,,,1,0.000501,,,,,,,1,0,,,1,100.0685025,5,357.1680055
104949485,2024-02-16,,,1,1.00E-06,,,,,1,0.001002,1,2.012991,1,0.016001,1,10.405009,1,0.002001,,,1,177.3014835,,,,,1,0.001001,,,,,1,0.001001,1,0,1,11.325003,1,10.506001,12,2.12E+02
,2024-03-18,1,12.391001,1,0.013002,,,,,1,0.006002,1,2.00999,,,,,1,0.043004,,,1,506.673956,,,,,,,,,,,,,,,1,44.649006,1,53.884002,8,619.669963
,2024-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,1,0
,2024-03-21,,,,,,,,,,,,,1,0.009001,,,,,,,,,,,,,1,0.001001,,,,,,,1,0,,,,,3,0.010002
104978486,2024-04-02,,,1,1.00E-06,,,,,,,1,0.137997,,,,,1,0.005001,,,1,350.797003,,,,,,,,,,,,,,,1,2.168002,1,8.104002,6,3.61E+02
,2024-04-03,,,,,,,,,,,,,1,0.028002,,,,,,,,,,,,,1,1.00E-06,,,,,,,1,0,,,1,93.483002,4,93.511005
105057343,2024-03-03,,,,,,,,,,,1,0.867988,,,,,,,,,1,64.125001,,,,,,,,,,,,,,,,,1,2.596001,3,67.58899
,2024-03-04,,,,,,,,,,,,,1,0.036002,,,,,,,,,,,,,1,0.002002,,,,,,,1,0,,,1,21.423003,4,21.461007
105063040,2024-04-08,,,1,0.007001,,,,,,,1,2.003985,1,0.003001,1,14.922002,1,0.009001,,,1,29.211003,,,,,1,0.001001,,,,,,,1,0,1,12.657001,1,105.469004,10,164.282999
,2024-04-15,,,1,0.002001,,,,,1,0.003001,1,2.007988,,,1,5.431002,1,0.009001,,,1,42.942003,,,,,,,,,,,,,,,1,15.489002,1,14.342003,8,80.226001
,2024-04-17,,,1,0.002001,,,,,1,0.002001,1,2.015984,1,0.020002,1,70.693002,1,0.005001,,,1,64.433003,,,,,1,0.002002,,,,,,,1,0,1,55.333002,1,250.227006,11,442.733004
,2024-04-22,1,35.321001,1,1.00E-06,,,,,1,0.041003,1,2.009977,1,0.029001,,,1,0.008501,,,1,0.806501,1,0.001001,,,1,0.003001,,,,,,,1,0,1,84.428008,1,14.219502,12,136.867497
,2024-04-25,,,1,1.00E-06,,,,,,,1,0.372986,1,0.007001,1,2.508001,1,0.010001,,,1,77.153003,,,,,1,0.001001,,,,,,,1,0,1,5.222001,1,10.946004,10,9.62E+01
,2024-04-29,1,26.633001,1,0.015002,,,,,1,0.002003,1,2.01099,1,0.016002,1,39.249003,1,0.024002,,,1,501.645993,,,,,1,0.002001,,,,,,,,,1,514.277008,1,295.09401,11,1378.969015
,2024-05-01,,,1,0.001001,,,,,,,1,0.41799,1,0.015001,1,146.776002,1,0.005001,,,1,82.468003,,,,,1,0.004001,,,,,,,,,1,1.902001,1,221.030004,9,452.619004
,2024-05-05,,,1,1.00E-06,,,,,1,0.001001,1,2.009983,1,0.006001,1,4.305001,1,0.008001,,,1,74.886002,,,,,1,0.005001,,,,,,,,,1,24.575002,1,6.794002,10,1.13E+02
,2024-05-11,,,1,0.006001,,,,,,,1,0.277989,1,0.002001,1,11.505002,1,0.006001,,,1,84.590003,,,,,1,0.002001,,,,,,,1,0,1,395.349998,1,25.8980026,10,517.6369986
105099866,2024-04-03,,,1,0.001001,,,,,,,1,0.87499,,,1,0,1,0.008001,,,1,11.885001,,,,,,,,,,,,,1,0,1,0.741001,1,48.073001,8,61.582995
,2024-04-04,,,,,,,,,,,,,1,0.001001,,,,,,,,,,,,,1,0.001001,,,,,,,1,0,,,,,3,0.002002
105217718,2024-02-25,,,1,1.00E-06,,,,,1,0.001002,1,2.000985,1,0.003001,1,20.706001,1,0.004001,,,1,181.306002,,,,,1,0.001001,,,1,1.00E-06,,,,,1,2006.87598,1,470.840005,11,2.68E+03
,2024-04-02,1,33.025001,1,0.004002,1,12.632001,,,1,0.001001,1,2.009965,,,1,41.769002,1,0.033003,,,1,684.4819985,,,,,,,,,1,0.001001,,,1,0,1,4.542502,1,108.371004,12,886.8704805
,2024-04-03,,,,,,,,,,,,,1,0.002001,,,,,,,,,,,,,1,0.001001,,,,,,,1,0,,,1,14.631002,4,14.634004
,2024-04-26,,,1,0.001001,,,,,,,1,0.286482,1,0.003001,1,6.469001,1,0.003001,,,1,15.6885015,,,,,1,1.00E-06,,,,,,,1,0,1,6.003002,1,14.99433433,10,43.44832483
,2024-04-27,,,,,,,,,,,,,1,0.009001,,,,,,,,,,,,,1,0.001001,,,,,,,1,0,1,1.221001,1,13.831001,5,15.062004
105263215,2024-05-10,,,1,0.005001,,,,,,,1,0.700991,,,,,1,0.002001,,,1,0.337001,,,,,,,,,,,,,1,0,,,1,8.502002,6,9.546996
,2024-05-11,,,,,,,,,,,,,,,1,0,,,,,1,0,,,,,,,,,,,,,,,,,,,2,0
,2024-05-13,,,,,,,,,1,0.001001,,,1,0.015001,,,,,,,,,,,,,1,0.002001,1,6.807997,,,,,1,0,1,24.634,1,613.565005,7,645.025005
105358810,2024-03-30,,,,,,,,,1,0.004001,1,2.005988,1,0.003001,,,,,,,1,32.143002,,,,,1,1.00E-06,,,,,,,,,1,1353.704997,1,3.491001,7,1391.351991
105442205,2024-05-08,,,1,0.001001,,,,,1,2.00E-06,1,0.106983,1,0.005001,1,5.320002,1,0.005001,,,1,39.416003,,,,,1,0.001001,,,,,,,1,0,1,259.815003,1,19.8515015,11,324.5214985
105480900,2024-04-18,,,1,0.001001,,,,,1,1.00E-06,1,2.005984,,,1,147.645002,1,0.003001,,,1,246.864003,,,,,,,,,,,,,,,1,60.122004,1,38.357003,8,494.997999
,2024-04-19,,,,,,,,,,,,,1,0.012001,,,,,,,,,,,,,1,0.001001,,,,,,,1,0,,,1,58.937002,4,58.950004
105640036,2024-05-13,,,,,,,,,1,1.00E-06,1,2.028984,,,1,3.310001,,,,,1,17.101001,,,,,,,,,,,,,,,1,15.949002,1,11.457002,6,4.98E+01
,2024-05-14,,,,,,,,,,,,,1,0.009001,,,,,,,,,,,,,1,0.005001,,,,,,,1,0,,,1,27.370001,4,27.384003
105682856,2024-04-07,,,1,0.003001,,,,,1,0.001001,1,2.010983,1,0.003001,1,3.619001,1,0.021001,,,1,81.538003,,,,,1,0.001001,,,,,,,1,0,1,44.634003,1,35.5395025,11,167.3704975
,2024-04-22,,,1,1.00E-06,,,,,,,1,0.12999,1,0.017002,,,1,0.009501,,,1,1.125501,,,,,1,0.004001,,,,,,,1,0,1,5.223001,1,9.0140015,9,1.55E+01
,2024-05-09,,,1,0.001001,,,,,,,1,2.008991,1,0.003001,1,15.418001,1,0.011001,,,1,380.05199,,,,,1,0.001001,,,,,,,1,0,1,2.282001,1,8.538003,10,408.31499
105904411,2024-04-19,,,,,,,,,1,0.001001,1,2.005989,1,0.010001,,,,,,,1,43.637001,,,,,1,1.00E-06,,,,,,,,,1,4.731002,1,45.478002,7,95.862997
106121422,2024-05-01,,,,,,,,,1,0.006001,1,0.424983,1,0.012001,,,,,,,,,,,,,1,1.00E-06,,,,,,,,,1,112.474002,1,43.528004,6,156.444992
106225653,2024-02-29,,,1,0.003001,,,,,1,0.003004,1,2.006983,,,,,1,0.008003,,,1,97.943003,1,0.001002,,,,,,,,,1,1.00E-06,,,1,1018.77801,1,364.709007,9,1483.452014
106329232,2024-04-22,,,,,,,,,,,1,2.013988,,,1,4.965001,,,,,1,46.306001,,,,,,,,,,,,,1,0,1,0.139001,1,64.849502,6,118.273493
,2024-04-23,,,,,,,,,,,,,1,0.007001,,,,,,,,,,,,,1,0.001001,,,,,,,1,0,,,,,3,0.008002
106429773,2024-03-28,,,,,,,,,1,0.001001,1,0.947989,1,0.001001,1,56.903001,,,,,1,7.228001,,,,,1,0.001001,,,,,,,,,1,582.984997,1,17.535002,8,665.601993
,2024-04-26,,,,,,,,,,,1,2.00699,1,0.008001,1,4.5075015,,,1,0,1,772.387,,,,,1,0.001001,,,,,,,1,0,1,0.957001,1,6.649001,9,786.5164955
106614251,2024-03-21,,,1,1.00E-06,,,,,1,2.00E-06,1,2.091994,1,0.013001,,,1,0.003001,,,1,1210.840988,,,,,1,0.001001,,,,,,,,,1,161.252004,1,84.310009,9,1.46E+03
106725896,2024-03-01,,,,,,,,,,,,,1,0.026001,,,,,,,,,,,,,,,,,,,,,1,0,,,1,1.546001,3,1.572002
